2017-07-01 00:00:00,57447.5+14361.875i
+15m,55935+13983.75i
+15m,54422.5+13605.625i
+15m,52910+13227.5i
+15m,52222.5+13055.625i
+15m,51535+12883.75i
+15m,50847.5+12711.875i
+15m,50160+12540i
+15m,49857.5+12464.375i
+15m,49555+12388.75i
+15m,49252.5+12313.125i
+15m,48950+12237.5i
+15m,49390+12347.5i
+15m,49830+12457.5i
+15m,50270+12567.5i
+15m,50710+12677.5i
+15m,52497.5+13124.375i
+15m,54285+13571.25i
+15m,56072.5+14018.125i
+15m,57860+14465i
+15m,60995+15248.75i
+15m,64130+16032.5i
+15m,67265+16816.25i
+15m,70400+17600i
+15m,71362.5+17840.625i
+15m,72325+18081.25i
+15m,73287.5+18321.875i
+15m,74250+18562.5i
+15m,73507.5+18376.875i
+15m,72765+18191.25i
+15m,72022.5+18005.625i
+15m,71280+17820i
+15m,72300+18075i
+15m,73150+18287.5i
+15m,74568+18642i
+15m,75890+18972.5i
+15m,77412+19353i
+15m,78654+19663.5i
+15m,79632+19908i
+15m,81235+20308.75i
+15m,82457+20614.25i
+15m,83987+20996.75i
+15m,84145+21036.25i
+15m,85799+21449.75i
+15m,86866+21716.5i
+15m,88007+22001.75i
+15m,89421+22355.25i
+15m,90329+22582.25i
+15m,92654+23163.5i
+15m,93478+23369.5i
+15m,94896+23724i
+15m,95888+23972i
+15m,96578+24144.5i
+15m,98017+24504.25i
+15m,99368+24842i
+15m,100110+25027.5i
+15m,101986+25496.5i
+15m,103000+25750i
+15m,104856+26214i
+15m,105998+26499.5i
+15m,107656+26914i
+15m,108749+27187.25i
+15m,110985+27746.25i
+15m,112856+28214i
+15m,114445+28611.25i
+15m,117421+29355.25i
+15m,118996+29749i
+15m,120489+30122.25i
+15m,121934+30483.5i
+15m,122015+30503.75i
+15m,122015+30503.75i
+15m,122015+30503.75i
+15m,120075+30018.75i
+15m,118798+29699.5i
+15m,114357+28589.25i
+15m,108698+27174.5i
+15m,100182.5+25045.625i
+15m,100155+25038.75i
+15m,100127.5+25031.875i
+15m,100100+25025i
+15m,98835+24708.75i
+15m,97570+24392.5i
+15m,96305+24076.25i
+15m,95040+23760i
+15m,91877.5+22969.375i
+15m,88715+22178.75i
+15m,85552.5+21388.125i
+15m,82390+20597.5i
+15m,78952.5+19738.125i
+15m,75515+18878.75i
+15m,72077.5+18019.375i
+15m,68640+17160i
+15m,66220+16555i
+15m,63800+15950i
+15m,61380+15345i
+15m,58960+14740i
